,Prediction,Actual
0,1,1
1,0,4
2,3,2
3,0,1
4,0,1
5,1,0
6,0,2
7,1,1
8,3,1
9,1,3
10,0,0
11,1,1
12,2,0
13,0,0
14,2,0
15,0,2
16,1,4
17,1,0
18,0,0
19,1,1
20,0,3
21,1,2
22,0,0
23,0,0
24,2,3
25,1,3
26,0,1
27,2,4
28,0,2
29,4,4
30,0,2
31,0,0
32,0,0
33,0,0
34,2,2
35,1,1
36,2,2
37,1,0
38,1,1
39,1,1
40,2,0
41,0,2
42,1,1
43,2,4
44,2,0
45,2,0
46,2,2
47,0,3
48,0,0
49,0,0
50,1,3
51,1,2
52,2,2
53,0,1
54,4,4
55,1,0
56,3,1
57,1,1
58,0,0
59,0,1
60,0,0
61,0,0
62,0,2
63,0,1
64,2,1
65,1,2
66,1,1
67,0,0
68,1,3
69,1,1
70,0,1
71,0,0
72,2,3
73,0,0
74,0,2
75,0,0
76,3,2
77,0,2
78,3,1
79,0,0
80,0,2
81,0,0
82,1,2
83,0,0
84,0,1
85,2,1
86,1,4
87,0,0
88,0,1
89,0,1
90,0,2
91,1,0
92,1,1
93,0,2
94,1,0
95,1,2
96,0,0
97,0,1
98,0,3
99,0,0
100,1,0
101,4,2
102,0,1
103,1,1
104,0,1
105,0,0
106,0,1
107,1,0
108,1,0
109,0,0
110,0,0
111,0,0
112,2,3
113,1,0
114,0,0
115,0,0
116,0,0
117,0,3
118,1,0
119,3,0
120,3,3
121,0,0
122,2,2
123,2,2
124,4,4
125,0,0
126,0,2
127,2,0
128,0,0
129,0,0
130,1,0
131,1,1
132,3,1
133,3,3
134,1,4
135,0,0
136,2,0
137,2,1
138,0,0
139,0,0
140,0,0
141,2,2
142,0,0
143,1,1
144,1,1
145,0,1
146,2,2
147,1,0
148,3,3
149,1,0
150,1,1
151,0,2
152,0,1
153,1,1
154,1,1
155,2,3
156,1,0
157,2,1
158,0,0
159,2,0
160,3,1
161,0,0
162,0,0
163,0,0
164,2,1
165,0,1
166,4,0
167,0,1
168,0,0
169,3,1
170,0,1
171,0,0
172,2,2
173,3,2
174,4,0
175,3,1
176,0,0
177,1,2
178,2,0
179,0,2
180,1,3
181,3,0
182,2,3
183,3,1
184,0,0
185,1,0
186,1,1
187,3,2
188,3,0
189,0,0
190,0,0
191,2,1
192,0,1
193,1,0
194,0,0
195,1,1
196,0,0
197,0,0
198,4,0
199,0,2
200,0,1
201,1,0
202,2,2
203,0,2
204,1,1
